learning rate,train_loss,train_acc,verify_loss,verify_acc
5e-05,21.083749771118164,0.328125,1.0974820852279663,0.3078125
0.0001,12.498523712158203,0.359375,3.226635694503784,0.3625
0.00015,6.849033355712891,0.359375,2.2046990394592285,0.2953125
0.0002,4.8114752769470215,0.359375,1.3431683778762817,0.3734375
0.00025,1.8156025409698486,0.3125,1.1050565242767334,0.3265625
0.0003,1.5203157663345337,0.3125,1.0944370031356812,0.340625
0.00035,1.228070616722107,0.390625,1.0856349468231201,0.3734375
0.0004,1.1635587215423584,0.421875,1.0992662906646729,0.4375
0.00045000000000000004,1.134267807006836,0.375,1.0889239311218262,0.3703125
0.0005,1.1036611795425415,0.453125,1.062482476234436,0.4296875
0.00055,1.0033068656921387,0.4375,1.0648314952850342,0.421875
0.0006,1.0618822574615479,0.421875,1.0282343626022339,0.43125
0.0006500000000000001,0.953687310218811,0.578125,0.9857977032661438,0.4265625
0.0007,0.9827259182929993,0.546875,1.0292211771011353,0.440625
0.00075,1.0596119165420532,0.421875,0.9965514540672302,0.528125
0.0008,0.985054075717926,0.53125,0.9188107848167419,0.5484375
0.00085,0.8595213890075684,0.640625,0.8407608270645142,0.65
0.0009000000000000001,0.8654014468193054,0.625,0.9039382934570312,0.5890625
0.00095,0.5989832282066345,0.765625,0.7971749305725098,0.621875
0.001,0.9335702657699585,0.640625,0.7185665965080261,0.68125
0.00095,0.6311876773834229,0.703125,0.7215891480445862,0.7171875
0.0009025,0.6526147723197937,0.671875,0.7277399897575378,0.69375
0.000857375,0.6742603778839111,0.75,0.7233493328094482,0.7
0.0008145062499999999,0.7625418901443481,0.65625,0.6282689571380615,0.7140625
0.0007737809374999998,0.6629482507705688,0.703125,0.7837604284286499,0.7265625
0.0007350918906249999,0.6680000424385071,0.75,0.6453038454055786,0.765625
0.0006983372960937497,0.747355043888092,0.671875,0.5673685073852539,0.7859375
0.0006634204312890623,0.3733040988445282,0.875,0.4685307443141937,0.7984375
0.0006302494097246091,0.5660709738731384,0.765625,0.5871132612228394,0.7453125
0.0005987369392383787,0.3915540277957916,0.796875,0.4675920605659485,0.7984375
0.0005688000922764596,0.4897717237472534,0.796875,0.5608292818069458,0.78125
0.0005403600876626366,0.37400078773498535,0.890625,0.37739667296409607,0.8359375
0.0005133420832795048,0.48387789726257324,0.8125,0.7063586115837097,0.759375
0.00048767497911552955,0.304745078086853,0.90625,0.47435417771339417,0.7734375
0.000463291230159753,0.32022514939308167,0.875,0.530718982219696,0.790625
0.00044012666865176535,0.28211668133735657,0.890625,0.453212708234787,0.8234375
0.0004181203352191771,0.44851556420326233,0.828125,0.5233680009841919,0.7875
0.0003972143184582182,0.5495489835739136,0.875,0.6554027795791626,0.7609375
0.00037735360253530727,0.20689263939857483,0.90625,0.548814594745636,0.81875
0.0003584859224085419,0.17559818923473358,0.921875,0.6212452054023743,0.8046875
0.0003405616262881148,0.34139496088027954,0.890625,0.6598717570304871,0.7984375
0.000323533544973709,0.22969350218772888,0.90625,0.49434757232666016,0.8515625
0.00030735686772502356,0.20101569592952728,0.921875,0.5492215156555176,0.803125
0.0002919890243387724,0.24067045748233795,0.875,0.35329869389533997,0.871875
0.00027738957312183375,0.2721641957759857,0.859375,0.4061908423900604,0.878125
0.00026352009446574203,0.2819863259792328,0.859375,0.49392732977867126,0.8328125
0.00025034408974245495,0.2533751428127289,0.90625,0.5627415180206299,0.84375
0.00023782688525533216,0.17630533874034882,0.9375,0.47062069177627563,0.853125
0.00022593554099256555,0.4278576672077179,0.90625,0.4565372169017792,0.8390625
0.00021463876394293727,0.33553582429885864,0.859375,0.5241088271141052,0.84375
0.00020390682574579038,0.19739124178886414,0.890625,0.6045185327529907,0.8171875
0.00019371148445850088,0.12156354635953903,0.953125,0.5945273637771606,0.8125
0.00018402591023557584,0.1454416960477829,0.96875,0.6877303123474121,0.8171875
0.000174824614723797,0.12700648605823517,0.921875,0.5883139371871948,0.8375
0.00016608338398760718,0.1909639835357666,0.9375,0.419891357421875,0.84375
0.0001577792147882268,0.20183181762695312,0.9375,0.4811769127845764,0.846875
0.00014989025404881545,0.22211694717407227,0.921875,0.46211376786231995,0.84375
0.00014239574134637466,0.12936337292194366,0.953125,0.2871224582195282,0.903125
0.00013527595427905592,0.09443152695894241,0.96875,0.3983631134033203,0.8765625
0.00012851215656510312,0.16286058723926544,0.9375,0.5273463129997253,0.8375
0.00012208654873684796,0.35024794936180115,0.890625,0.5338825583457947,0.8703125
0.00011598222130000556,0.09827036410570145,0.96875,0.5841528177261353,0.8203125
0.00011018311023500529,0.21131286025047302,0.9375,0.5654288530349731,0.8265625
0.00010467395472325501,0.08092283457517624,0.953125,0.6236250400543213,0.8234375
9.944025698709225e-05,0.09021811932325363,0.96875,0.4593113958835602,0.8546875
9.446824413773763e-05,0.07802034914493561,0.953125,0.5524377822875977,0.834375
8.974483193085076e-05,0.20054268836975098,0.953125,0.52781742811203,0.871875
8.52575903343082e-05,0.11232675611972809,0.9375,0.4966500699520111,0.871875
8.099471081759279e-05,0.06388024985790253,0.96875,0.4170847535133362,0.859375
